median,mean,variance,max,min,year
0.6056870332043555,0.5837586353752335,4.908738713608212,1.5811669065966631,6.290674880985717,1776
0.476738954377756,0.5629513746262665,4.256139788839624,1.4645609281056817,4.683842061047325,1777
0.5751822190227661,0.6796549800058144,4.388596432744615,1.5789651960369206,5.609633155978718,1778
0.807072797624404,0.7806844407484568,4.143892887559425,1.4234058768735707,6.070568468216185,1779
0.7465130927742284,0.703608026590728,4.690240526742127,1.612414260309933,5.33828059367124,1780
0.6640871051921173,0.7544691583734343,4.428707408732808,1.5638919468202217,4.261831419770372,1781
0.37334653108971483,0.50335284745235,5.2077688724308775,1.6773647218223384,6.291234948193782,1782
0.679834428147215,0.727843154234877,4.385094923660823,1.4774324667626384,4.171660599271913,1783
0.32331503644380455,0.538904030252644,5.098297790191569,1.6298585824371237,4.200224026883226,1784
0.4115000449923514,0.49560489294282006,4.803483046015685,1.5479718858497753,4.403248389806778,1785
0.49959506883829746,0.5360611885481473,4.423045131877149,1.568295367939707,4.092971156538785,1786
0.9164042112840816,1.0447351601872885,5.069744761869633,1.7986281649589293,3.4612153458415005,1787
0.8476558984972556,0.912700880237461,5.559948504666119,1.7370649504615123,3.7793335200224027,1788
0.9906415909295421,1.0354030905810996,5.726795518461537,1.864764162926581,4.273592831139736,1789
0.979213533699271,1.1100269156939915,4.8364513004227305,1.8187822846981112,3.283113973676841,1790
1.011158103122469,1.1951653609770279,4.849761320488726,1.8198831399779825,3.136096331559787,1791
0.9289120849455593,1.027815792873455,5.34692321739024,1.8275891269370814,3.967516101932232,1792
0.791145505264105,0.8576927350893832,4.511168239304861,1.8497755948852566,3.4169700364043685,1793
0.9107351750202468,0.9811435899070647,4.144604838799088,1.7491743585400965,3.483057966956035,1794
0.9263025285701432,0.8077488033417157,5.015447768698308,1.8629011770683375,3.6832819938392607,1795
0.8702420588499955,0.9829790831345536,5.395956309878726,1.863917351172834,5.4612153458415005,1796
0.9396202645550257,1.035219016715585,5.088373539056888,1.8010839190447963,4.68888266591991,1797
0.9724646810042296,1.0815856784244586,5.386723971839484,1.9267507833008723,3.4511341360963312,1798
0.873391523441015,0.902692088745375,6.486116547207326,1.9061732576848167,4.242229067488098,1799
1.1058220102582563,1.084074128260819,5.4366644759940765,1.8854263697180114,3.7860543265191815,1800
1.030954737694592,1.1272352630651679,4.895651501573284,1.9104919976289272,3.8902268272192666,1801
0.9870422028255198,1.117974307151295,5.490506827603193,1.8915234143449908,3.604872584710167,1802
1.047601907675695,1.1095437951849985,6.755527125726591,1.9237869421627571,3.8776253150378044,1803
1.2715738324484838,1.2598730365292612,6.640426935105878,1.9763739520704549,4.286474376925231,1804
0.6875731125708632,0.8709584038759803,5.653983601475834,1.9021932424422048,3.9106692803136367,1805
0.9070458022136235,1.08513520323525,4.6429568664324385,1.8765348463036666,3.558667040044805,1806
0.9051561234590121,1.0083952924769595,5.485659340423331,1.8552798712846135,3.8801456174740965,1807
0.649509583370827,0.7274085360680925,5.637900828479151,1.9277669574053684,3.968076169140297,1808
0.7402141635921893,0.8194851223087325,5.2003610534691544,1.7428232703869928,4.608232987958555,1809
0.7230270853954831,0.81111037727449,4.5285752483046,1.6744855618595982,3.846541584990199,1810
0.9422298209304418,0.9594371274486576,5.1367689938065295,1.7153865695655854,4.469896387566508,1811
0.6232340502114643,0.620807966768649,6.678709516749391,1.8492675078330083,6.665919910389246,1812
0.9087555115630344,0.9206564265681325,6.152631223193534,1.7766957405368784,7.499299915989917,1813
0.8113920633492306,0.8056395626157458,5.8423467465542895,1.6906596663561688,6.956874824978997,1814
0.8842796724556827,0.8669345240979255,5.736566575122695,1.8321619104073161,6.215905908709044,1815
0.8139116350220464,0.8341779309881828,5.776568586179745,1.6838851723261925,6.1307756930831685,1816
0.904526230540808,0.9729821891281977,6.070557735184622,1.7435854009653653,6.963315597871744,1817
1.0225861603527397,1.040622888085518,6.123100297816154,1.78965196036921,6.275833099971996,1818
1.1491946369117252,1.122404224702688,6.429045553719866,1.7745787111525106,6.381405768692243,1819
1.0797264465040943,1.0167562497178027,7.070161403934929,1.8148869506308745,7.0215625875105,1820
1.1074417349050665,1.1366800002241293,6.195278545998459,1.8289440257430774,5.814617754130495,1821
1.1337172680644292,1.193889983969784,6.268375184890508,1.8744178169192989,5.970596471576589,1822
1.138036533789256,1.0296554683221342,8.685516442817345,1.8934710813786095,8.065807896947634,1823
1.7814271573832448,1.7778074175185365,8.99211161651807,1.914980099923787,7.679081489778772,1824
2.259875821110411,2.0388086003023975,8.897110258296568,1.8617156406130917,7.714365723886866,1825
1.9730945739224333,1.7964801221084412,9.331822917802683,1.9209924633753914,7.669560347241668,1826
1.945739224331864,1.8635654043740586,9.495127478312154,1.9613853840291304,7.379165499859982,1827
