,median,mean,variance,max,min,year
2367,,,,,,1981
2368,,,,,,1981
2369,,,,,,1981
2370,,,,,,1981
2371,,,,,,1981
2372,,,,,,1981
2373,,,,,,1981
2374,,,,,,1981
2375,,,,,,1981
2376,,,,,,1981
2377,,,,,,1981
2378,,,,,,1981
2379,,,,,,1981
2380,,,,,,1981
2381,,,,,,1981
2382,,,,,,1981
2383,,,,,,1981
2384,,,,,,1981
2385,,,,,,1981
2386,,,,,,1981
2387,,,,,,1981
2388,,,,,,1981
2389,,,,,,1981
2390,,,,,,1981
2391,,,,,,1981
2392,,,,,,1981
2393,,,,,,1981
2394,,,,,,1981
2395,,,,,,1981
2396,,,,,,1981
2397,,,,,,1981
2398,,,,,,1981
2399,,,,,,1981
2400,,,,,,1981
2401,,,,,,1981
2402,,,,,,1981
2403,,,,,,1981
2404,,,,,,1981
2405,,,,,,1981
2406,,,,,,1981
2407,,,,,,1981
2408,,,,,,1981
2409,,,,,,1981
2410,,,,,,1981
2411,,,,,,1981
2412,,,,,,1981
2413,,,,,,1981
2414,,,,,,1981
2415,,,,,,1981
2416,,,,,,1981
2417,,,,,,1981
2418,,,,,,1981
2419,,,,,,1981
2420,,,,,,1981
2421,,,,,,1981
2422,,,,,,1981
2423,,,,,,1981
2424,,,,,,1981
2425,,,,,,1981
2426,,,,,,1981
2427,,,,,,1981
2428,,,,,,1981
2429,,,,,,1981
2430,,,,,,1982
2431,,,,,,1982
2432,,,,,,1982
2433,,,,,,1982
2434,,,,,,1982
2435,,,,,,1982
2436,,,,,,1982
2437,,,,,,1982
2438,,,,,,1982
2439,,,,,,1982
2440,,,,,,1982
2441,,,,,,1982
2442,,,,,,1982
2443,,,,,,1982
2444,,,,,,1982
2445,,,,,,1982
2446,,,,,,1982
2447,,,,,,1982
2448,,,,,,1982
2449,,,,,,1982
2450,,,,,,1982
2451,,,,,,1982
2452,,,,,,1982
2453,,,,,,1982
2454,,,,,,1982
2455,,,,,,1982
2456,,,,,,1982
2457,,,,,,1982
2458,,,,,,1982
2459,,,,,,1982
2460,,,,,,1982
2461,,,,,,1982
2462,,,,,,1982
2463,,,,,,1982
2464,,,,,,1982
2465,,,,,,1982
2466,,,,,,1982
2467,,,,,,1982
2468,,,,,,1982
2469,,,,,,1982
2470,,,,,,1982
2471,,,,,,1982
2472,,,,,,1982
2473,,,,,,1982
2474,,,,,,1982
2475,,,,,,1982
2476,,,,,,1982
2477,,,,,,1982
2478,,,,,,1982
2479,,,,,,1982
2480,,,,,,1982
2481,,,,,,1982
2482,,,,,,1982
2483,,,,,,1982
2484,,,,,,1982
2485,,,,,,1982
2486,,,,,,1982
2487,,,,,,1982
2488,,,,,,1982
2489,,,,,,1982
2490,,,,,,1982
2491,,,,,,1982
2492,,,,,,1982
2493,,,,,,1982
2494,,,,,,1982
2495,,,,,,1982
2496,,,,,,1982
2497,,,,,,1982
2498,,,,,,1982
2499,,,,,,1982
2500,,,,,,1982
2501,,,,,,1982
2502,,,,,,1982
2503,,,,,,1982
2504,,,,,,1982
2505,,,,,,1982
2506,,,,,,1982
2507,,,,,,1982
2508,,,,,,1982
2509,,,,,,1982
2510,,,,,,1982
2511,,,,,,1982
2512,,,,,,1982
2513,,,,,,1982
2514,,,,,,1982
2515,,,,,,1982
2516,,,,,,1982
2517,,,,,,1982
2518,,,,,,1982
2519,,,,,,1982
2520,,,,,,1983
2521,,,,,,1983
2522,,,,,,1983
2523,,,,,,1983
2524,,,,,,1983
2525,,,,,,1983
2526,,,,,,1983
2527,,,,,,1983
2528,,,,,,1983
2529,,,,,,1983
2530,,,,,,1983
2531,,,,,,1983
2532,,,,,,1983
2533,,,,,,1983
2534,,,,,,1983
